                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0195,                 3.4562,                 1.2657,                0.00817,                 0.2471,                0.07675,                0.05482,                0.70314,                 3.5223,                0.98569,                0.00015,                0.00015,                0.00015
                      2,                0.84727,                 2.9804,                 1.1087,                0.01798,                0.33913,                0.14598,                0.09916,                0.72957,                 3.4686,                0.97258,             0.00030631,             0.00030631,             0.00030631
                      3,                0.86995,                 2.4171,                 1.1171,                0.01457,                0.32246,                 0.1636,                0.10648,                0.77658,                 3.4536,                0.99836,             0.00045619,             0.00045619,             0.00045619
                      4,                0.95453,                 1.9906,                 1.1778,                0.02231,                0.35049,                0.18458,                0.14507,                0.77073,                 3.4142,                 1.0166,             0.00059963,             0.00059963,             0.00059963
                      5,                0.92593,                 1.5956,                 1.1356,                0.03519,                0.44988,                0.27286,                0.20091,                0.90263,                 3.4205,                 1.1259,             0.00073664,             0.00073664,             0.00073664
                      6,                0.94854,                 1.3856,                 1.1188,                      1,                0.09728,                0.34829,                0.26551,                 1.0069,                 3.3184,                 1.1923,             0.00086721,             0.00086721,             0.00086721
                      7,                0.92795,                 1.2778,                 1.1215,                      1,                0.13998,                0.54449,                0.41724,                  1.009,                 3.1817,                 1.1595,             0.00099135,             0.00099135,             0.00099135
                      8,                0.89824,                 1.2275,                 1.1144,                0.96371,                0.31074,                0.70835,                0.55366,                0.94957,                 2.9067,                 1.1097,              0.0010768,              0.0010768,              0.0010768
                      9,                 0.8861,                 1.1343,                 1.0922,                0.93086,                0.56586,                0.79899,                0.60098,                0.96088,                  2.176,                 1.2024,               0.001052,               0.001052,               0.001052
                     10,                0.82124,                 1.0807,                 1.0789,                0.92585,                0.61295,                0.85114,                 0.6454,                0.95069,                 1.9922,                 1.1946,              0.0010273,              0.0010273,              0.0010273
                     11,                0.85126,                 1.0571,                 1.0876,                0.89579,                0.76389,                0.86945,                0.66488,                0.94855,                 1.8044,                 1.1622,              0.0010025,              0.0010025,              0.0010025
                     12,                0.82438,                 1.0389,                 1.0623,                0.84302,                0.73724,                  0.899,                0.67676,                 0.9481,                 1.4805,                 1.1528,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.8337,                0.99531,                   1.08,                 0.8308,                0.82392,                0.89764,                0.70617,                0.88845,                 1.3586,                 1.0641,               0.000953,               0.000953,               0.000953
                     14,                0.81594,                0.99317,                 1.0446,                0.90292,                0.84648,                0.90875,                0.72942,                0.84684,                 1.2677,                 1.0426,             0.00092825,             0.00092825,             0.00092825
                     15,                0.80725,                0.94777,                 1.0352,                0.86073,                 0.8619,                0.90226,                0.70067,                0.92356,                 1.2862,                   1.12,              0.0009035,              0.0009035,              0.0009035
                     16,                0.76976,                0.92246,                 1.0666,                  0.834,                0.88889,                 0.9084,                0.69808,                0.94084,                 1.3022,                  1.132,             0.00087875,             0.00087875,             0.00087875
                     17,                0.76816,                0.85491,                 1.0215,                0.92645,                0.85551,                0.92775,                0.75104,                0.84628,                 1.2522,                 1.0442,               0.000854,               0.000854,               0.000854
                     18,                0.76581,                0.94147,                 1.0465,                 0.9258,                0.91126,                0.92905,                 0.7382,                0.85842,                 1.1762,                 1.0466,             0.00082925,             0.00082925,             0.00082925
                     19,                0.75316,                0.88506,                 1.0358,                0.93873,                0.82702,                0.92266,                0.72018,                0.82471,                 1.1455,                 1.0556,              0.0008045,              0.0008045,              0.0008045
                     20,                0.71903,                0.83702,                 1.0026,                0.88215,                0.88328,                0.92497,                0.70553,                0.83502,                 1.0477,                 1.0839,             0.00077975,             0.00077975,             0.00077975
                     21,                0.70144,                0.81425,                 1.0095,                0.88378,                0.87423,                0.92091,                0.71119,                0.83333,                 0.9725,                 1.0691,               0.000755,               0.000755,               0.000755
                     22,                0.71298,                0.81881,                0.98264,                0.90522,                0.87535,                0.93369,                0.74231,                0.79821,                0.89663,                 1.0159,             0.00073025,             0.00073025,             0.00073025
                     23,                0.67985,                0.81248,                 1.0357,                0.88741,                0.91338,                0.93722,                0.72072,                0.81712,                0.86305,                 1.0464,              0.0007055,              0.0007055,              0.0007055
                     24,                0.69102,                0.80006,                 1.0112,                0.93502,                0.87082,                0.94212,                0.73343,                0.81685,                0.86793,                 1.0429,             0.00068075,             0.00068075,             0.00068075
                     25,                0.67664,                0.77582,                  1.015,                0.87851,                0.94236,                0.94474,                0.73831,                0.78704,                0.88942,                0.99242,               0.000656,               0.000656,               0.000656
                     26,                0.68653,                 0.8064,                 1.0037,                0.88988,                0.92514,                0.94329,                0.73742,                0.78112,                0.91076,                0.99731,             0.00063125,             0.00063125,             0.00063125
                     27,                0.64555,                0.75291,                0.98196,                0.93217,                 0.8906,                0.93612,                0.74569,                0.79361,                0.94293,                 1.0152,              0.0006065,              0.0006065,              0.0006065
                     28,                0.66377,                0.76871,                0.98216,                0.95744,                0.88235,                0.92787,                0.74453,                0.79686,                0.92335,                 1.0563,             0.00058175,             0.00058175,             0.00058175
                     29,                0.64263,                0.74845,                0.97442,                0.93718,                0.86572,                 0.9266,                0.73826,                0.80794,                0.91903,                 1.0672,               0.000557,               0.000557,               0.000557
                     30,                0.63135,                0.71544,                0.98606,                0.93132,                0.88768,                0.94214,                0.75044,                0.77545,                0.90934,                 1.0178,             0.00053225,             0.00053225,             0.00053225
                     31,                0.65452,                0.72646,                0.98864,                 0.8915,                 0.9292,                0.95112,                  0.752,                0.79778,                0.86409,                 1.0217,              0.0005075,              0.0005075,              0.0005075
